Published Odometry - x: -0.562082, y: 0, Linear Velocity: 0.00471629, Angular Velocity: -0.568698
Published Odometry - x: -0.523751, y: -0.752171, Linear Velocity: 0.00713826, Angular Velocity: -0.643646
Published Odometry - x: -0.469894, y: -0.751226, Linear Velocity: 0.0100626, Angular Velocity: -0.639481
Published Odometry - x: -0.785573, y: -0.548952, Linear Velocity: 0.0134893, Angular Velocity: -0.585751
Published Odometry - x: -1.63229, y: -0.444536, Linear Velocity: 0.0173788, Angular Velocity: -0.490055
Published Odometry - x: -2.29925, y: -0.437416, Linear Velocity: 0.0215969, Angular Velocity: -0.357106
Published Odometry - x: -2.30702, y: 0.188171, Linear Velocity: 0.0261323, Angular Velocity: -0.227234
Published Odometry - x: -2.29628, y: 1.07768, Linear Velocity: 0.030985, Angular Velocity: -0.109669
Published Odometry - x: -2.19807, y: 0.660499, Linear Velocity: 0.0361551, Angular Velocity: -0.00580571
Published Odometry - x: -1.56205, y: 0.391459, Linear Velocity: 0.0416426, Angular Velocity: 0.0740129
Published Odometry - x: -1.44171, y: 0.89862, Linear Velocity: 0.0474474, Angular Velocity: 0.127687
Published Odometry - x: -0.86843, y: 1.21207, Linear Velocity: 0.0535696, Angular Velocity: 0.156594
Published Odometry - x: -0.762768, y: 1.71549, Linear Velocity: 0.0599594, Angular Velocity: 0.169646
Published Odometry - x: -0.738031, y: 2.41613, Linear Velocity: 0.0665647, Angular Velocity: 0.168443
Published Odometry - x: -0.838143, y: 2.30762, Linear Velocity: 0.0733853, Angular Velocity: 0.154737
Published Odometry - x: -0.701295, y: 2.05096, Linear Velocity: 0.0804212, Angular Velocity: 0.138498
Published Odometry - x: 0.0364735, y: 2.33429, Linear Velocity: 0.0876726, Angular Velocity: 0.121297
Published Odometry - x: -0.18788, y: 2.73802, Linear Velocity: 0.0951393, Angular Velocity: 0.103876
Published Odometry - x: -0.632275, y: 2.22656, Linear Velocity: 0.102821, Angular Velocity: 0.0899471
Published Odometry - x: -0.707705, y: 2.23879, Linear Velocity: 0.110712, Angular Velocity: 0.0800246
Published Odometry - x: -1.0312, y: 2.25729, Linear Velocity: 0.118725, Angular Velocity: 0.0739177
Published Odometry - x: -0.657691, y: 2.46381, Linear Velocity: 0.12683, Angular Velocity: 0.0707792
Published Odometry - x: -0.677714, y: 2.3093, Linear Velocity: 0.135027, Angular Velocity: 0.0705076
Published Odometry - x: 0.225643, y: 2.26776, Linear Velocity: 0.143318, Angular Velocity: 0.0726556
Published Odometry - x: -0.300152, y: 1.98253, Linear Velocity: 0.151701, Angular Velocity: 0.0754505
Published Odometry - x: -0.430447, y: 2.20309, Linear Velocity: 0.160177, Angular Velocity: 0.0787099
Published Odometry - x: -0.368613, y: 1.64673, Linear Velocity: 0.168745, Angular Velocity: 0.0821834
Published Odometry - x: -0.561638, y: 2.15462, Linear Velocity: 0.177388, Angular Velocity: 0.0849854
Published Odometry - x: -0.0611466, y: 2.02783, Linear Velocity: 0.18604, Angular Velocity: 0.0870384
Published Odometry - x: -0.857611, y: 2.03472, Linear Velocity: 0.194696, Angular Velocity: 0.0883496
Published Odometry - x: -0.697184, y: 1.82557, Linear Velocity: 0.203356, Angular Velocity: 0.0889413
Published Odometry - x: -0.295764, y: 1.92668, Linear Velocity: 0.21202, Angular Velocity: 0.088815
